method,ways,shots,support_pol,query_pol,mean_test_acc,std_test_acc,n,mean_ci95_episode,mean_best_val,mean_best_epoch,ci95_over_seeds
full,5,1,mixed,mixed,54.92266687999169,20.566662877540868,3,4.701739529818202,60.946666878958546,18.666666666666668,23.273369963413785
full,5,5,mixed,mixed,60.66599999666214,24.13496865916816,2,3.5988678058173122,63.95000062137842,13.5,33.44936000514029
loss_c,5,1,mixed,mixed,59.51199992646773,12.048162449483218,3,3.9023439211673074,59.30666675418615,16.333333333333332,13.633779273560975
loss_c,5,5,mixed,mixed,69.2659999743104,17.063900824121916,2,3.4246714485945833,63.689999997615814,9.0,23.649359973013393
loss_d,5,1,mixed,mixed,59.09333355476459,13.389045160677522,3,6.204896088239615,58.49333321054777,17.666666666666668,15.15113090231008
loss_d,5,5,mixed,mixed,65.49400002807378,16.254970641324984,2,4.805237914395691,71.30999948829412,14.0,22.528239938199512
loss_only,5,1,mixed,mixed,61.52133332068721,7.456455629159635,3,1.8735442873046078,57.78666682044665,18.666666666666668,8.437773862803798
loss_only,5,5,mixed,mixed,67.85199992507695,18.788689831579017,3,1.9668074978838952,70.24666661520799,18.333333333333332,21.26140405868576
loss_u,5,1,mixed,mixed,60.333333716293176,15.604926306169185,3,4.7897755389832755,59.66666694978873,16.0,17.65863647096006
loss_u,5,5,mixed,mixed,62.75799969136715,22.002335132090675,2,5.515869312089177,65.03000052273273,13.5,30.49368073272704
loss_u_c,5,1,mixed,mixed,63.00933355589708,8.158631650131309,3,4.477037416094858,62.80000011622906,20.333333333333332,9.23236083166773
loss_u_c,5,5,mixed,mixed,64.53400041908026,18.291437594573356,2,4.230657311344634,65.2799996137619,14.5,25.350639139115806
loss_u_d,5,1,mixed,mixed,56.425333508352445,12.507944652199718,3,4.464574887840544,63.86666672428449,18.666666666666668,14.154071815434637
loss_u_d,5,5,mixed,mixed,63.373999609053136,24.570546807018463,2,3.7351475475633737,73.39999997615814,15.5,34.05304051882028
protonet,5,1,mixed,mixed,65.52000021189451,7.340209373967273,3,0.799765413711658,70.80000022798777,20.0,8.306228841617711
protonet,5,5,mixed,mixed,58.95199995239576,17.6564241509358,3,4.95563284918717,58.62000000973543,9.0,19.98012482347923
random_topk,5,1,mixed,mixed,62.696000094711785,12.617582122766871,3,3.7060985253755576,61.73333346347014,15.666666666666666,14.278138292799259
random_topk,5,5,mixed,mixed,55.58933308621247,21.45895495276751,3,5.111889297877334,67.48666654527187,10.666666666666666,24.283093500276415
