path,label,broad_group,polarization,source,magnification,domain
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-1.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-2.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-3.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-4.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-5.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-6.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-7.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩1-8.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-1.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-2.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-3.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-4.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
D:\南京大学岩石教学薄片显微图像数据集\南京大学变质岩教学薄片照片数据集\变10硬绿泥石蓝晶石石英片岩2-5.jpg,硬绿泥石蓝晶石石英片岩,metamorphic,unknown,NJU,unknown,NJU
